City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
487,salinas,US,287.57,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
488,portland,US,285.73,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
489,baker city,US,284.62,fog,44.7749,-117.8344,Bridge Street Inn
490,necochea,AR,287.72,clear sky,-38.5473,-58.7368,dyd -mar Hotel
494,ulaanbaatar,MN,281.22,clear sky,47.9077,106.8832,The Blue Sky Hotel and Tower
496,ancud,CL,281.61,few clouds,-41.8697,-73.8203,Hotel Arena Gruesa
499,dabat,ET,287.87,light rain,12.9842,37.765,Haymanot hotel
500,alamosa,US,280.14,clear sky,37.4695,-105.87,Best Western Alamosa Inn
501,roma,US,282.25,overcast clouds,43.2128,-75.4557,Wingate By Wyndham Rome
513,raudeberg,NO,286.52,scattered clouds,61.9875,5.1352,Nordre Silda.
515,prince george,CA,284.05,broken clouds,53.9166,-122.753,Canadas Best Value Inn Prince George
518,sistranda,NO,285.13,overcast clouds,63.7256,8.834,Hotell Frøya
528,serov,RU,281.81,overcast clouds,59.6033,60.5787,Five Stars Hotel
529,mujiayingzi,CN,282.39,clear sky,42.1167,118.7833,Jinjiang Hotel
531,launceston,AU,283.04,overcast clouds,-41.45,147.1667,Hotel Grand Chancellor Launceston
533,spasskoye,RU,285.19,overcast clouds,44.6108,132.7969,Garmonist
535,kenora,CA,282.69,overcast clouds,49.8167,-94.4337,Maynard Lake Lodge
537,suoyarvi,RU,282.23,overcast clouds,62.0833,32.35,Mini-Hotel Comfort
547,carberry,CA,283.28,overcast clouds,49.8689,-99.3602,Carberry Motor Inn
552,prince rupert,CA,284.98,light rain,54.3161,-130.3201,Crest Hotel
555,mayo,US,289.12,few clouds,38.8876,-76.5119,Resorts Resource Group International
558,santiago de cao,PE,288.22,mist,-7.9589,-79.2392,Casa de la tía
559,killybegs,IE,287.99,overcast clouds,54.6333,-8.45,Tara Hotel
561,fort william,GB,287.76,light rain,56.8165,-5.1121,Alexandra Hotel
